Артикул,Бренд,Название,Ссылка на фото
391249,Lesta,"Омивач скла, зимовий, концентрат -80°C, 1 л 391249",https://images2.exist.ua/media/images/products/2018/11/5275316_55183510.jpg
FRAISERBG25C4L,Fraiser,"Рідина омивача скла зимова, аромат BubbleGum -25°C, 4 л FRAISERBG25C4L",https://images2.exist.ua/media/images/products/2022/04/2022-18-04_16-34-09_13269803.jpg
996791,Sheron,"Рідина омивача скла, зимова, -20°C, 2 л 996791",https://images2.exist.ua/media/images/products/2020/04/7677335_55183514.jpg
990133,Sheron,"Рідина омивача скла, зимова, -22°C, 4 л 990133",https://images2.exist.ua/media/images/products/2018/11/5275361_60172676_k3dcdHg.jpg
232405,Sonax,"Омивач скла Xtreme Nanopro, зимовий -20°C, 4 л 232405",https://images2.exist.ua/media/images/products/2018/11/5275257_18875686.jpg
FRAISERK25C4L,Fraiser,"Рідина омивача скла зимова, аромат Кавун -25°C, 4 л FRAISERK25C4L",https://images2.exist.ua/media/images/products/2022/04/2022-18-04_16-34-09_13269804.jpg
8837,Liqui Moly,"Омивач скла, зимовий -80 ° C, концентрат ""Цитрус"", 1 л 8837",https://images2.exist.ua/media/images/products/2020/04/7683344_22495277.jpg
990430,Sheron,"Рідина омивача скла, літня, 4 л 990430",https://images2.exist.ua/media/images/products/2020/11/45__B31RpOo.jpg
FRAISERM25C4L,Fraiser,"Рідина омивача скла зимова, аромат Море -25°C, 4 л FRAISERM25C4L",https://images2.exist.ua/media/images/products/2022/04/2022-18-04_16-34-10_13269805.jpg
8839,Liqui Moly,"Омивач скла, зимовий -80 ° C, концентрат ""Цитрус"", 4 л 8839",https://images2.exist.ua/media/images/products/2020/03/7657993_22495289.jpg
8806,Liqui Moly,"Омивач скла, зимовий -27°C, ""Цитрус"", 4 л 8806",https://images2.exist.ua/media/images/products/2020/04/7686331_22495251.jpg
272405,Sonax,"Омивач скла Xtreme Nanopro, літній, 4 л 272405",https://images2.exist.ua/media/images/products/2020/11/45__6Fo47MX.jpg
332400,Sonax,"Омивач скла, зимовий -20°C, 4 л 332400",https://images2.exist.ua/media/images/products/2018/11/5275252_18857525.jpg
NX25125,Nowax,"Омивач скла, літній, концентрат 1:100 ""Літня свіжість"", 250 мл NX25125",https://images2.exist.ua/media/images/products/2020/12/45__Syz4oAL.jpg
NX25225,Nowax,"Омивач скла, літній, концентрат 1:100 ""Вишня"", 250 мл NX25225",https://images2.exist.ua/media/images/products/2018/12/5013902_59814981.jpg
332300,Sonax,"Омивач скла, зимовий -70°C, концентрат, 1 л 332300",https://images2.exist.ua/media/images/products/2018/11/5275290_19063339.jpg
FRAISERS25C4L,Fraiser,"Рідина омивача скла зимова, аромат SHARK -25°C, 4 л FRAISERS25C4L",https://images2.exist.ua/media/images/products/2019/11/7215766_63168507.jpg
400427,Sapfire,"Омивач скла, зимовий -22°C ""Морський бриз"" з ефектом антидощ, 3,79 л 400427",https://images2.exist.ua/media/images/products/2018/12/5277260_60174942.jpg
390747,Lesta,"Омивач скла, зимовий -20°C, 1 л 390747",https://images2.exist.ua/media/images/products/4888/55183507/3662842.jpg
4820095201566,Akvilon,"Омивач скла, зимовий, концентрат -80°C, 1 л 4820095201566",https://images2.exist.ua/media/images/products/2020/11/45__nvJJWKl.jpg
AD0122,Auto Drive,"Омивач скла, зимовий -22 ° C, ""Lime"", 4 л AD0122",https://images2.exist.ua/media/images/products/2018/10/5012144_59812624_lmDmVrY.jpg
386141,Sonax,"Омивач скла ""Green Lemon"", літній, концентрат 1:100, 0,25 л 386141",https://images2.exist.ua/media/images/products/2020/04/7718885_59109637.jpg
36002,Liqui Moly,"Омивач скла, літній ""Цитрус"", 4 л 36002",https://images2.exist.ua/media/images/products/2019/03/5440035_61651630_EewYEqs.jpg
48021143817,DK,"Омивач скла, літній, аромат Вишня, 5 л 48021143817",https://images2.exist.ua/media/images/products/2021/03/45__06azN2T.jpg
G052164M2,VAG,"Омивач скла, зимовий -70 °С, концентрат, 1 л G052164M2",https://images2.exist.ua/media/images/products/2020/12/45__uhb6P99.jpg
48021143818,DK,"Омивач скла, літній, аромат Морський бриз, 5 л 48021143818",https://images2.exist.ua/media/images/products/2021/03/45__PEJN6cZ.jpg
AD0123,Auto Drive,"Омивач скла, зимовий -22 ° C, ""Sport"", 4 л AD0123",https://images2.exist.ua/media/images/products/2020/03/7667125_59812623.jpg
372141,Sonax,"Омивач скла, літній, концентрат 1:100, аромат яблуко, 0,25 л 372141",https://images2.exist.ua/media/images/products/2020/04/7718880_19063321.jpg
48021143819,DK,"Омивач скла, літній, аромат Кавун, 5 л 48021143819",https://images2.exist.ua/media/images/products/2021/03/45__ZLV4m2I.jpg
W45201,Wynn's,"Омивач скла, літній, концентрат 1:20, 250 мл W45201",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_12-30-01_4058665.jpg
36001,Liqui Moly,"Омивач скла, літній, концентрат 1:3, ""Яблуко"", 1 л 36001",https://images2.exist.ua/media/images/products/2019/03/5440036_61651631_gogkBG2.jpg
NASW803,StarLine,"Омивач скла, зимовий -80°C, 3 л NASW803",https://images2.exist.ua/media/images/products/2020/10/45__7N4rC2g.jpg
G055184A1,VAG,"Омивач скла, літній, концентрат 1:100, 250 мл G055184A1",https://images2.exist.ua/media/images/products/2021/09/2021-01-09_16-30-38_9192918.jpg
0892333,Wurth,"Омивач скла, літній ""Персик"", концентрат 1:100, 0,032 л 0892333",https://images2.exist.ua/media/images/products/4341/41383033/4943383.jpg
W4047,Turtle wax,"Омивач скла, зимовий -20°C, 4 л W4047",https://images2.exist.ua/media/images/products/2018/09/4980512_57076380.jpg
AD0124,Auto Drive,"Омивач скла, зимовий -22 ° C, ""Bubble Gum"", 4 л AD0124",https://images2.exist.ua/media/images/products/2018/11/5010149_59812622.jpg
G052184A2,VAG,"Омивач скла, літній, концентрат 1:10, 1 л G052184A2",https://images2.exist.ua/media/images/products/2020/06/7800620_541567.jpg
5901060012284,Shell,"Омивач скла, літній, 2 л 5901060012284",https://images2.exist.ua/media/images/products/3956/59463141/4667581.jpg
2385,Liqui Moly,"Рідина омивача літня, суперконцентрат ""Лайм"", 250 мл 2385",https://images2.exist.ua/media/images/products/2019/04/4022341_22495349.jpg
373141,Sonax,"Омивач скла ""Lemon Fresh"", літній, концентрат 1:100, 0,25 л 373141",https://images2.exist.ua/media/images/products/2020/04/7718918_19063333.jpg
5901060010105,Shell,"Омивач скла, зимовий -21°C, 4 л 5901060010105",https://images2.exist.ua/media/images/products/2019/06/6786399_41357869_XQiFT7u.jpg
AS11E,Shell,"Омивач скла, зимовий, концентрат, 1 л AS11E",https://images2.exist.ua/media/images/products/2018/09/4980338_18879034.jpg
271141,Sonax,"Омивач скла Xtreme, літній, концентрат 1:100, 0,25 л 271141",https://images2.exist.ua/media/images/products/2018/11/5275280_19018838.jpg
KR335,Kerry,"Омивач скла, літній, концентрат, 0,355 л KR335",https://images2.exist.ua/media/images/products/2021/05/2021-27-05_11-00-59_8805387.jpg
34796,Kroon oil,"Омивач скла, літній, концентрат 1:20, 1 л 34796",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_19-00-18_4980335.jpg
48021110408,AXXIS,"Омивач скла, зимовий -22°C ""Bubble Gum"", 4 л 48021110408",https://images2.exist.ua/media/images/products/2021/11/2021-30-11_09-30-34_9505892.jpg
400335,Sapfire,"Омивач скла, зимовий -12°C ""Морський бриз"", 4,5 л 400335",https://images2.exist.ua/media/images/products/2018/12/5277257_60174939.jpg
W45202,Wynn's,"Омивач скла, літній, концентрат 1:20, 1 л W45202",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_12-30-01_4058666.jpg
48021110411,AXXIS,"Омивач скла, зимовий -22°C ""Цитрус"", 4 л 48021110411",https://images2.exist.ua/media/images/products/2021/11/2021-30-11_09-30-33_9505890.jpg
48391093980,AXXIS,"Омивач скла, літній, аромат Карамель, 4 л 48391093980",https://images2.exist.ua/media/images/products/2021/03/45__9wH8fpP.jpg
48391094315,AXXIS,"Омивач скла, літній, аромат Лісові ягоди, 4 л 48391094315",https://images2.exist.ua/media/images/products/2021/03/45__K8MioM8.jpg
48021110407,AXXIS,"Омивач скла, зимовий -22°C ""Black Ice"", 4 л 48021110407",https://images2.exist.ua/media/images/products/2021/11/2021-30-11_09-30-34_9505891.jpg
260405,Sonax,"Омивач скла, літній, лимон, 4 л 260405",https://images2.exist.ua/media/images/products/2020/05/7760336_59569965.jpg
HG5648,Hi-Gear,"Омивач скла, зимовий, концентрат -50°C, 1 л HG5648",https://images2.exist.ua/media/images/products/2021/10/2021-21-10_16-36-20_9375815.jpg
83122298203,BMW,"Омивач скла, літній, концентрат, 50 мл 83122298203",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_14-00-17_6971385.jpg
5901060010112,Shell,"Омивач скла, зимовий -20°C, 2 л 5901060010112",https://images2.exist.ua/media/images/products/2019/09/7119870_41359774_gpGTcNm.jpg
4823075804450,Helpix,"Омивач скла, літній 1°С ""Bubble Gum"", концентрат 1:66, 100 мл 4823075804450",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-14_13321176.jpg
48391093979,AXXIS,"Омивач скла, літній, аромат Квітковий, 4 л 48391093979",https://images2.exist.ua/media/images/products/2021/03/45__7mFRsu0.jpg
W77395,Wynn's,"Омивач скла, зимовий -70°C, концентрат, 1 л W77395",https://images2.exist.ua/media/images/products/4342/19369226/4058667.jpg
400359,Sapfire,"Омивач скла, зимовий -20°C ""Морський бриз"", 4,5 л 400359",https://images2.exist.ua/media/images/products/2018/12/5277259_60174941.jpg
5901060011560,Shell,"Омивач скла, літній, 4 л 5901060011560",https://images2.exist.ua/media/images/products/2022/05/2022-10-05_16-30-15_13294489.jpg
2380,Liqui Moly,"Рідина омивача літня, суперконцентрат ""Яблуко"", 250 мл 2380",https://images2.exist.ua/media/images/products/2021/03/2021-31-03_01-16-17_8643337.jpg
48021143820,DK,"Омивач скла, літній, аромат Вишня, 3 л 48021143820",https://images2.exist.ua/media/images/products/2021/03/45__hJOjB3N.jpg
KS92090040,Nissan,"Омивач скла, зимовий -30°С, 5 л KS92090040",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_17-30-10_13314629.jpg
48021035226,AXXIS,"Омивач скла, зимовий -22°C ""Диня"", 4 л 48021035226",https://images2.exist.ua/media/images/products/2021/10/2021-28-10_18-30-33_9402229.jpg
48021031071,AXXIS,"Омивач скла, зимовий -22°C ""Цитрус"", 4 л 48021031071",https://images2.exist.ua/media/images/products/2021/10/2021-28-10_18-30-32_9402225.jpg
2379,Liqui Moly,"Рідина омивача літня, суперконцентрат ""Персик"", 250 мл 2379",https://images2.exist.ua/media/images/products/3377/22495300/4022338.jpg
2168316,Ford,"Омивач скла, зимовий -20°C, 5 л 2168316",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_15-30-11_5203388.jpg
OBZOR1,StarLine,"Омивач скла, літній ""Bubble Gum"", 1 л OBZOR1",https://images2.exist.ua/media/images/products/4042/15310335/3905134.jpg
48021110410,AXXIS,"Омивач скла, зимовий -22°C ""Watermelon"", 4 л 48021110410",https://images2.exist.ua/media/images/products/2021/11/2021-30-11_09-30-35_9505894.jpg
T4043,Turtle wax,"Омивач скла, зимовий -80°C, концентрат, 1 л T4043",https://images2.exist.ua/media/images/products/2019/06/6869687_62746220_fc6w0Ud.jpg
QT00014,QT-oil,"Рідина омивача літня, антимошка, Bubble Gum, 4 л QT00014",https://images2.exist.ua/media/images/products/2021/06/2021-08-06_12-30-33_8808855.jpg
83120410745,BMW,"Омивач скла, зимовий, 0,5 л 83120410745",https://images2.exist.ua/media/images/products/2022/05/2022-26-05_17-00-09_4956329.jpg
48021110409,AXXIS,"Омивач скла, зимовий -22°C ""Forest"", 4 л 48021110409",https://images2.exist.ua/media/images/products/2021/11/2021-30-11_09-30-35_9505893.jpg
83122288904,BMW,"Омивач скла, літній, концентрат 1:10, 1 л 83122288904",https://images2.exist.ua/media/images/products/2022/05/2022-26-05_17-30-06_4943382.jpg
4823075804443,Helpix,"Омивач скла, літній 1°С ""Диня"", концентрат 1:66, 100 мл 4823075804443",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-12_13321169.jpg
83122298202,BMW,"Засіб для очищення скла (у таблетках), 6 шт. 83122298202",https://images2.exist.ua/media/images/products/2022/07/2022-15-07_12-46-11_13455498.jpg
387141,Sonax,"Омивач скла ""Tropical Sun"", літній, концентрат 1:100, помаранчевий, 0,25 л 387141",https://images2.exist.ua/media/images/products/2018/11/5275299_59570529.jpg
5905807001371,Organika,"Омивач скла, зимовий Adixol A-21°C, 1 л 5905807001371",https://images2.exist.ua/media/images/products/2019/03/4693396_41397410_Z941huS.jpg
7711238965,Renault,"Омивач скла, літній -4°С, 2 л 7711238965",https://images2.exist.ua/media/images/products/2019/03/5368230_19035449.jpg
48021031073,AXXIS,"Омивач скла, зимовий -22°C ""Фруктовий"", 4 л 48021031073",https://images2.exist.ua/media/images/products/2021/10/2021-28-10_18-30-32_9402227.jpg
