Артикул,Бренд,Название,Характеристики,Аналоги,Марка,Модель
143204701,Reinz,14-32047-01 Reinz Болт головки циліндра, ,"FAI AutoParts B068|
","AUDI|
FORD|
SEAT|
SKODA|
VW|
","80 седан 1991 р. - 1994 р.,
80 седан 1986 р. - 1991 р.,
80 універсал 1991 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
A3 хетчбек 1996 р. - 2003 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
80 седан 1978 р. - 1987 р.,
90 седан 1984 р. - 1987 р.,
A6 седан 1997 р. - 2005 р.,
A6 універсал 1997 р. - 2005 р.,
A4 седан 1994 р. - 2001 р.,
90 седан 1987 р. - 1991 р.|
Galaxy мінівен 1995 р. - 2006 р.|
Cordoba універсал 1996 р. - 2002 р.,
Terra фургон 1987 р. - 1996 р.,
Leon хетчбек 1999 р. - 2006 р.,
Ibiza хетчбек 1999 р. - 2002 р.,
Terra універсал 1987 р. - 1996 р.,
Arosa хетчбек 1997 р. - 2004 р.,
Toledo седан 1998 р. - 2006 р.,
Cordoba універсал 1999 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Leon хетчбек 2005 р. - 2021 р.,
Cordoba седан 1993 р. - 2002 р.,
Cordoba седан 1999 р. - 2002 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Alhambra фургон 1996 р. - 2010 р.,
Cordoba седан 2002 р. - 2009 р.,
Ibiza хетчбек 2002 р. - 2009 р.,
Toledo хетчбек 1991 р. - 1999 р.|
Fabia універсал 2000 р. - 2007 р.,
Felicia хетчбек 1998 р. - 2001 р.,
Fabia хетчбек 1999 р. - 2008 р.,
Fabia фургон 2001 р. - 2007 р.,
Octavia універсал 1998 р. - 2010 р.,
Felicia хетчбек 1994 р. - 1998 р.,
Felicia універсал 1998 р. - 2001 р.,
Felicia пікап 1995 р. - 2002 р.,
Fabia седан 1999 р. - 2007 р.,
Octavia хетчбек 1996 р. - 2010 р.,
Felicia універсал 1995 р. - 1998 р.|
Vento седан 1991 р. - 1998 р.,
Polo хетчбек 1981 р. - 1994 р.,
Bora універсал 1999 р. - 2005 р.,
Passat універсал 1973 р. - 1981 р.,
Polo седан 1985 р. - 1994 р.,
Polo седан 2002 р. - Наш час,
Transporter фургон 1990 р. - 2003 р.,
New Beetle хетчбек 1998 р. - 2010 р.,
Transporter фургон 1979 р. - 1992 р.,
Polo фургон 1994 р. - 1999 р.,
Lupo хетчбек 1998 р. - 2005 р.,
Passat універсал 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
LT автобус 1975 р. - 1996 р.,
Golf універсал 1993 р. - 1999 р.,
Passat хетчбек 1979 р. - 1989 р.,
Jetta седан 1978 р. - 1987 р.,
Passat універсал 1980 р. - 1989 р.,
Golf хетчбек 1983 р. - 1992 р.,
Polo хетчбек 1994 р. - 1999 р.,
Jetta седан 1983 р. - 1992 р.,
Golf універсал 1999 р. - 2006 р.,
Golf кабріолет 1993 р. - 1998 р.,
Golf хетчбек 1991 р. - 1998 р.,
Polo фургон 1992 р. - 1994 р.,
Caddy фургон 1995 р. - 2004 р.,
Polo хетчбек 2001 р. - 2012 р.,
Golf хетчбек 1974 р. - 1985 р.,
Caddy універсал 1995 р. - 2004 р.,
Transporter автобус 1990 р. - 2003 р.,
Passat універсал 1997 р. - 2001 р.,
LT фургон 1975 р. - 1996 р.,
Transporter з бортом 1979 р. - 1992 р.,
Caddy пікап 1996 р. - 2000 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1984 р. - 1989 р.,
Caddy пікап 1979 р. - 1992 р.,
Golf хетчбек 1997 р. - 2005 р.,
Sharan мінівен 1995 р. - 2010 р.,
Polo купе 1981 р. - 1994 р.,
Transporter автобус 1979 р. - 1992 р.,
LT з бортом 1975 р. - 1996 р.,
Passat седан 1996 р. - 2001 р.,
Bora седан 1998 р. - 2013 р.,
Passat седан 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.,
Transporter з бортом 1990 р. - 2003 р.,
Polo хетчбек 1999 р. - 2001 р.|
"
BK6396,BGA,BK6396 BGA Болт головки циліндра, , ,"AUDI|
SEAT|
TRABANT|
VW|
WARTBURG|
","80 седан 1991 р. - 1994 р.,
100 універсал 1977 р. - 1983 р.,
80 купе 1980 р. - 1988 р.,
100 універсал 1990 р. - 1994 р.,
80 седан 1986 р. - 1991 р.,
100 універсал 1982 р. - 1990 р.,
80 універсал 1991 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
80 купе 1988 р. - 1996 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
80 седан 1978 р. - 1987 р.,
100 седан 1982 р. - 1991 р.,
100 седан 1990 р. - 1994 р.,
A4 седан 1994 р. - 2001 р.,
100 седан 1976 р. - 1982 р.|
Cordoba універсал 1996 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Cordoba седан 1993 р. - 2002 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Toledo хетчбек 1991 р. - 1999 р.|
Vento седан 1991 р. - 1998 р.,
Polo хетчбек 1981 р. - 1994 р.,
Polo седан 1985 р. - 1994 р.,
Passat універсал 1973 р. - 1981 р.,
Polo фургон 1994 р. - 1999 р.,
Passat універсал 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
Golf універсал 1993 р. - 1999 р.,
Passat хетчбек 1979 р. - 1989 р.,
Jetta седан 1978 р. - 1987 р.,
Passat універсал 1980 р. - 1989 р.,
Polo хетчбек 1975 р. - 1981 р.,
Golf хетчбек 1983 р. - 1992 р.,
Passat хетчбек 1973 р. - 1981 р.,
Polo хетчбек 1994 р. - 1999 р.,
Jetta седан 1983 р. - 1992 р.,
Scirocco купе 1980 р. - 1992 р.,
Scirocco купе 1974 р. - 1980 р.,
Golf кабріолет 1993 р. - 1998 р.,
Golf хетчбек 1991 р. - 1998 р.,
Polo фургон 1992 р. - 1994 р.,
Caddy фургон 1995 р. - 2004 р.,
Golf хетчбек 1974 р. - 1985 р.,
Caddy універсал 1995 р. - 2004 р.,
Passat універсал 1997 р. - 2001 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1984 р. - 1989 р.,
Caddy пікап 1979 р. - 1992 р.,
Golf хетчбек 1997 р. - 2005 р.,
Sharan мінівен 1995 р. - 2010 р.,
Golf кабріолет 1979 р. - 1993 р.,
Polo купе 1981 р. - 1994 р.,
Corrado купе 1987 р. - 1995 р.,
Passat седан 1996 р. - 2001 р.,
Passat седан 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.|
"
02882,Febi,02882 Febi Болт головки циліндра, ,"FEBI BILSTEIN 10794|
GLASER T06582-00|
PAYEN HBS002|
CORTECO 016225B|
","OPEL|
VAUXHALL|
","Astra хетчбек 1998 р. - 2009 р.,
Astra хетчбек 1991 р. - 1998 р.,
Vectra універсал 1996 р. - 2003 р.,
Vectra седан 1995 р. - 2002 р.,
Corsa седан 1982 р. - 1993 р.,
Kadett універсал 1979 р. - 1984 р.,
Vectra седан 1988 р. - 1995 р.,
Corsa хетчбек 1993 р. - 2002 р.,
Kadett кабріолет 1986 р. - 1993 р.,
Astra універсал 1991 р. - 1998 р.,
Astra седан 1998 р. - 2009 р.,
Kadett хетчбек 1984 р. - 1991 р.,
Ascona хетчбек 1981 р. - 1988 р.,
Kadett седан 1984 р. - 1993 р.,
Astra седан 1991 р. - 1998 р.,
Kadett фургон 1986 р. - 1994 р.,
Combo мінівен 2001 р. - Наш час,
Meriva мінівен 2003 р. - 2010 р.,
Astra кабріолет 1993 р. - 2001 р.,
Vectra хетчбек 1995 р. - 2003 р.,
Ascona седан 1981 р. - 1988 р.,
Kadett універсал 1984 р. - 1991 р.,
Kadett фургон 1984 р. - 1993 р.,
Vectra хетчбек 1988 р. - 1995 р.,
Astra універсал 1998 р. - 2009 р.,
Corsa хетчбек 1982 р. - 1993 р.,
Kadett хетчбек 1979 р. - 1984 р.|
"
143204601,Reinz,14-32046-01 Reinz Болт головки циліндра, , ,"AUDI|
SEAT|
VW|
","80 седан 1991 р. - 1994 р.,
100 універсал 1977 р. - 1983 р.,
80 купе 1980 р. - 1988 р.,
100 універсал 1990 р. - 1994 р.,
80 седан 1986 р. - 1991 р.,
100 універсал 1982 р. - 1990 р.,
80 універсал 1991 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
80 купе 1988 р. - 1996 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
80 седан 1978 р. - 1987 р.,
100 седан 1982 р. - 1991 р.,
100 седан 1990 р. - 1994 р.,
100 седан 1976 р. - 1982 р.|
Cordoba універсал 1996 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Cordoba седан 1993 р. - 2002 р.,
Toledo хетчбек 1991 р. - 1999 р.|
Vento седан 1991 р. - 1998 р.,
Polo хетчбек 1981 р. - 1994 р.,
Polo седан 1985 р. - 1994 р.,
Passat універсал 1973 р. - 1981 р.,
Polo фургон 1994 р. - 1999 р.,
Passat універсал 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
Golf універсал 1993 р. - 1999 р.,
Passat хетчбек 1979 р. - 1989 р.,
Jetta седан 1978 р. - 1987 р.,
Passat універсал 1980 р. - 1989 р.,
Polo хетчбек 1975 р. - 1981 р.,
Golf хетчбек 1983 р. - 1992 р.,
Passat хетчбек 1973 р. - 1981 р.,
Polo хетчбек 1994 р. - 1999 р.,
Jetta седан 1983 р. - 1992 р.,
Scirocco купе 1980 р. - 1992 р.,
Scirocco купе 1974 р. - 1980 р.,
Golf кабріолет 1993 р. - 1998 р.,
Golf хетчбек 1991 р. - 1998 р.,
Polo фургон 1992 р. - 1994 р.,
Golf хетчбек 1974 р. - 1985 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1984 р. - 1989 р.,
Caddy пікап 1979 р. - 1992 р.,
Golf кабріолет 1979 р. - 1993 р.,
Polo купе 1981 р. - 1994 р.,
Corrado купе 1987 р. - 1995 р.,
Passat седан 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.|
"
143210201,Reinz,14-32102-01 Reinz Болт головки циліндра, , ,"CHEVROLET|
DAEWOO|
OPEL|
VAUXHALL|
","Corsa хетчбек 1994 р. - 2010 р.,
Corsa седан 1994 р. - 2010 р.,
Corsa пікап 1994 р. - 2010 р.|
Racer хетчбек 1986 р. - 1997 р.,
Nexia седан 1995 р. - 2008 р.,
Lanos седан 1997 р. - Наш час,
Nexia седан 2008 р. - Наш час,
Nexia хетчбек 1995 р. - 1997 р.,
Lanos хетчбек 1997 р. - Наш час|
Astra хетчбек 1998 р. - 2009 р.,
Astra хетчбек 1998 р. - 2002 р.,
Corsa фургон 1999 р. - 2000 р.,
Astra хетчбек 1991 р. - 1998 р.,
Vectra універсал 1996 р. - 2003 р.,
Vectra седан 1995 р. - 2002 р.,
Corsa седан 1982 р. - 1993 р.,
Kadett універсал 1979 р. - 1984 р.,
Corsa фургон 1986 р. - 1994 р.,
Vectra седан 1988 р. - 1995 р.,
Corsa хетчбек 1993 р. - 2002 р.,
Kadett кабріолет 1986 р. - 1993 р.,
Combo фургон 1994 р. - 2001 р.,
Astra універсал 1991 р. - 1998 р.,
Astra седан 1998 р. - 2009 р.,
Kadett хетчбек 1984 р. - 1991 р.,
Ascona хетчбек 1981 р. - 1988 р.,
Kadett седан 1984 р. - 1993 р.,
Astra седан 1991 р. - 1998 р.,
Astra універсал 1998 р. - 2005 р.,
Kadett фургон 1986 р. - 1994 р.,
Combo мінівен 2001 р. - Наш час,
Combo легковий фургон 2001 р. - Наш час,
Meriva мінівен 2003 р. - 2010 р.,
Astra кабріолет 1993 р. - 2001 р.,
Kadett хетчбек 1979 р. - 1984 р.,
Ascona седан 1981 р. - 1988 р.,
Kadett універсал 1984 р. - 1991 р.,
Kadett фургон 1984 р. - 1993 р.,
Vectra хетчбек 1988 р. - 1995 р.,
Astra універсал 1998 р. - 2009 р.,
Vectra хетчбек 1995 р. - 2003 р.,
Corsa хетчбек 1982 р. - 1993 р.,
Kadett седан 1979 р. - 1984 р.,
Astra седан 1998 р. - 2002 р.,
Astra фургон 1991 р. - 1999 р.,
Astra фургон 1999 р. - 2005 р.|
"
143210401,Reinz,14-32104-01 Reinz Болт головки циліндра, , ,"CHEVROLET|
DAEWOO|
Лада|
OPEL|
VAUXHALL|
","Lacetti хетчбек 2003 р. - Наш час,
Nubira універсал 2005 р. - Наш час,
Captiva позашляховик 2006 р. - Наш час,
Evanda седан 2005 р. - Наш час,
Nubira седан 2005 р. - Наш час,
Rezzo мінівен 2005 р. - Наш час,
Vectra седан 1996 р. - 2006 р.,
Zafira мінівен 1999 р. - 2012 р.,
Astra хетчбек 1998 р. - 2011 р.,
Epica седан 2005 р. - Наш час,
Astra седан 1999 р. - 2011 р.|
Evanda седан 2002 р. - Наш час,
Nubira хетчбек 1997 р. - Наш час,
Nubira універсал 1997 р. - Наш час,
Rezzo мінівен 2000 р. - Наш час,
Nubira седан 1997 р. - Наш час,
Nubira універсал 2003 р. - Наш час,
Nubira седан 2003 р. - Наш час,
Lacetti хетчбек 2002 р. - Наш час,
Leganza седан 1997 р. - 2004 р.|
2110 седан 1995 р. - 2012 р.|
Astra хетчбек 1998 р. - 2009 р.,
Astra хетчбек 1991 р. - 1998 р.,
Vectra універсал 1996 р. - 2003 р.,
Vectra седан 1995 р. - 2002 р.,
Astra кабріолет 2005 р. - 2010 р.,
Speedster кабріолет 2000 р. - Наш час,
Zafira мінівен 2005 р. - Наш час,
Frontera позашляховик 1992 р. - 1998 р.,
Sintra мінівен 1996 р. - 1999 р.,
Astra кабріолет 2001 р. - 2005 р.,
Vectra седан 1988 р. - 1995 р.,
Kadett кабріолет 1986 р. - 1993 р.,
Frontera позашляховик 1998 р. - Наш час,
Astra універсал 1991 р. - 1998 р.,
Astra седан 1998 р. - 2009 р.,
Kadett хетчбек 1984 р. - 1991 р.,
Omega універсал 1994 р. - 2003 р.,
Astra седан 1991 р. - 1998 р.,
Astra хетчбек 2004 р. - 2014 р.,
Astra кабріолет 1993 р. - 2001 р.,
Vectra хетчбек 1995 р. - 2003 р.,
Vectra хетчбек 1988 р. - 1995 р.,
Astra універсал 1998 р. - 2009 р.,
Zafira мінівен 1999 р. - 2005 р.,
Astra універсал 2004 р. - 2014 р.,
Antara позашляховик 2006 р. - Наш час,
Astra купе 2000 р. - 2005 р.,
Omega седан 1994 р. - 2003 р.,
Astra хетчбек 2005 р. - 2010 р.,
Calibra купе 1990 р. - 1997 р.|
"
02116,Febi,02116 Febi Болт головки циліндра, ,"CORTECO 016197B|
SWAG 30 22 0004|
CORTECO 016819B|
FAI AutoParts B068|
","AUDI|
FORD|
SEAT|
SKODA|
VOLVO|
VW|
","80 седан 1991 р. - 1994 р.,
100 універсал 1977 р. - 1983 р.,
100 універсал 1990 р. - 1994 р.,
80 седан 1986 р. - 1991 р.,
100 універсал 1982 р. - 1990 р.,
80 універсал 1991 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
A3 хетчбек 1996 р. - 2003 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
80 седан 1978 р. - 1987 р.,
90 седан 1984 р. - 1987 р.,
100 седан 1982 р. - 1991 р.,
100 седан 1990 р. - 1994 р.,
A4 седан 1994 р. - 2001 р.,
100 седан 1976 р. - 1982 р.,
90 седан 1987 р. - 1991 р.|
Galaxy мінівен 1995 р. - 2006 р.|
Cordoba універсал 1996 р. - 2002 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Cordoba седан 1993 р. - 2002 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Toledo хетчбек 1991 р. - 1999 р.,
Alhambra фургон 1996 р. - 2010 р.|
Felicia хетчбек 1994 р. - 1998 р.|
760 універсал 1982 р. - 1992 р.,
240 універсал 1974 р. - 1993 р.,
V70 універсал 1995 р. - 2000 р.,
240 седан 1974 р. - 1993 р.,
960 седан 1990 р. - 1994 р.,
S70 седан 1996 р. - 2000 р.,
940 седан 1990 р. - 1995 р.,
740 седан 1983 р. - 1992 р.,
740 універсал 1984 р. - 1992 р.,
960 універсал 1990 р. - 1994 р.,
780 купе 1986 р. - 1990 р.,
850 універсал 1992 р. - 1997 р.,
850 седан 1991 р. - 1997 р.,
940 універсал 1994 р. - 1998 р.,
760 седан 1981 р. - 1992 р.,
940 седан 1994 р. - 1998 р.,
V70 універсал 1999 р. - 2008 р.,
940 універсал 1990 р. - 1995 р.,
S80 седан 1998 р. - 2006 р.|
Vento седан 1991 р. - 1998 р.,
Polo хетчбек 1981 р. - 1994 р.,
Bora універсал 1999 р. - 2005 р.,
Passat універсал 1973 р. - 1981 р.,
Polo седан 1985 р. - 1994 р.,
Transporter фургон 1990 р. - 2003 р.,
Transporter фургон 1979 р. - 1992 р.,
Passat універсал 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
LT автобус 1975 р. - 1996 р.,
Golf універсал 1993 р. - 1999 р.,
Passat хетчбек 1979 р. - 1989 р.,
Jetta седан 1978 р. - 1987 р.,
Passat універсал 1980 р. - 1989 р.,
Golf хетчбек 1983 р. - 1992 р.,
Passat хетчбек 1973 р. - 1981 р.,
Polo хетчбек 1994 р. - 1999 р.,
Jetta седан 1983 р. - 1992 р.,
Golf універсал 1999 р. - 2006 р.,
Golf кабріолет 1993 р. - 1998 р.,
Golf хетчбек 1991 р. - 1998 р.,
Caddy фургон 1995 р. - 2004 р.,
Golf хетчбек 1974 р. - 1985 р.,
Transporter автобус 1990 р. - 2003 р.,
Passat універсал 1997 р. - 2001 р.,
LT фургон 1975 р. - 1996 р.,
Transporter з бортом 1979 р. - 1992 р.,
Caddy пікап 1996 р. - 2000 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1984 р. - 1989 р.,
Caddy пікап 1979 р. - 1992 р.,
Passat легковий фургон 1988 р. - 1996 р.,
Golf хетчбек 1997 р. - 2005 р.,
Sharan мінівен 1995 р. - 2010 р.,
Transporter автобус 1979 р. - 1992 р.,
Corrado купе 1987 р. - 1995 р.,
LT з бортом 1975 р. - 1996 р.,
Passat седан 1996 р. - 2001 р.,
Bora седан 1998 р. - 2013 р.,
Passat седан 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.,
Transporter з бортом 1990 р. - 2003 р.,
Polo хетчбек 1999 р. - 2001 р.|
"
819817,Elring,819.817 Elring Болт головки циліндра, , ,"ARO|
AUDI|
SEAT|
TRABANT|
VW|
WARTBURG|
","|
80 седан 1991 р. - 1994 р.,
80 купе 1980 р. - 1988 р.,
100 універсал 1990 р. - 1994 р.,
80 седан 1986 р. - 1991 р.,
100 універсал 1982 р. - 1990 р.,
80 універсал 1991 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
80 купе 1988 р. - 1996 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
80 седан 1978 р. - 1987 р.,
100 седан 1982 р. - 1991 р.,
100 седан 1990 р. - 1994 р.,
A4 седан 1994 р. - 2001 р.|
Cordoba універсал 1996 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Cordoba седан 1993 р. - 2002 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Toledo хетчбек 1991 р. - 1999 р.|
Vento седан 1991 р. - 1998 р.,
Polo хетчбек 1981 р. - 1994 р.,
Polo седан 1985 р. - 1994 р.,
Polo фургон 1994 р. - 1999 р.,
Passat універсал 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
Golf універсал 1993 р. - 1999 р.,
Golf фургон/хетчбек 1991 р. - 1997 р.,
Jetta седан 1978 р. - 1987 р.,
Passat універсал 1980 р. - 1989 р.,
Passat хетчбек 1979 р. - 1989 р.,
Golf хетчбек 1983 р. - 1992 р.,
Passat хетчбек 1973 р. - 1981 р.,
Polo хетчбек 1994 р. - 1999 р.,
Jetta седан 1983 р. - 1992 р.,
Scirocco купе 1980 р. - 1992 р.,
Golf кабріолет 1993 р. - 1998 р.,
Golf хетчбек 1991 р. - 1998 р.,
Polo фургон 1992 р. - 1994 р.,
Caddy фургон 1995 р. - 2004 р.,
Golf хетчбек 1974 р. - 1985 р.,
Caddy універсал 1995 р. - 2004 р.,
Golf хетчбек 1994 р. - 2005 р.,
Passat універсал 1997 р. - 2001 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1984 р. - 1989 р.,
Caddy пікап 1979 р. - 1992 р.,
Passat легковий фургон 1988 р. - 1996 р.,
Sharan мінівен 1995 р. - 2010 р.,
Golf кабріолет 1979 р. - 1993 р.,
Polo купе 1981 р. - 1994 р.,
Corrado купе 1987 р. - 1995 р.,
Passat седан 1996 р. - 2001 р.,
Passat седан 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.|
"
143205401,Reinz,14-32054-01 Reinz Болт головки циліндра, , ,"AUDI|
","80 седан 1991 р. - 1994 р.,
100 універсал 1990 р. - 1994 р.,
80 універсал 1991 р. - 1996 р.,
A8 седан 1994 р. - 2002 р.,
80 купе 1988 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
100 седан 1990 р. - 1994 р.,
A4 седан 1994 р. - 2001 р.|
"
819824,Elring,819.824 Elring Болт головки циліндра, , ,"ARO|
AUDI|
FORD|
PORSCHE|
SEAT|
SKODA|
VW|
","|
80 седан 1991 р. - 1994 р.,
80 седан 1986 р. - 1991 р.,
80 універсал 1991 р. - 1996 р.,
80 кабріолет 1991 р. - 2000 р.,
A3 хетчбек 1996 р. - 2003 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1994 р. - 1997 р.,
80 седан 1978 р. - 1987 р.,
90 седан 1984 р. - 1987 р.,
A6 седан 1997 р. - 2005 р.,
A6 універсал 1997 р. - 2005 р.,
A4 седан 1994 р. - 2001 р.,
90 седан 1987 р. - 1991 р.|
Galaxy мінівен 1995 р. - 2006 р.|
Cordoba універсал 1996 р. - 2002 р.,
Terra фургон 1987 р. - 1996 р.,
Leon хетчбек 1999 р. - 2006 р.,
Ibiza хетчбек 1999 р. - 2002 р.,
Terra універсал 1987 р. - 1996 р.,
Arosa хетчбек 1997 р. - 2004 р.,
Toledo седан 1998 р. - 2006 р.,
Cordoba універсал 1999 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Leon хетчбек 2005 р. - 2021 р.,
Cordoba седан 1993 р. - 2002 р.,
Cordoba седан 1999 р. - 2002 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Alhambra фургон 1996 р. - 2010 р.,
Cordoba седан 2002 р. - 2009 р.,
Ibiza хетчбек 2002 р. - 2009 р.,
Toledo хетчбек 1991 р. - 1999 р.|
Fabia універсал 2000 р. - 2007 р.,
Felicia хетчбек 1998 р. - 2001 р.,
Fabia хетчбек 1999 р. - 2008 р.,
Fabia фургон 2001 р. - 2007 р.,
Octavia універсал 1998 р. - 2010 р.,
Felicia хетчбек 1994 р. - 1998 р.,
Felicia універсал 1998 р. - 2001 р.,
Felicia пікап 1995 р. - 2002 р.,
Fabia седан 1999 р. - 2007 р.,
Octavia хетчбек 1996 р. - 2010 р.,
Felicia універсал 1995 р. - 1998 р.|
Vento седан 1991 р. - 1998 р.,
Polo хетчбек 1981 р. - 1994 р.,
Bora універсал 1999 р. - 2005 р.,
Polo седан 1985 р. - 1994 р.,
Polo седан 2002 р. - Наш час,
Transporter фургон 1990 р. - 2003 р.,
New Beetle хетчбек 1998 р. - 2010 р.,
Transporter фургон 1979 р. - 1992 р.,
Polo фургон 1994 р. - 1999 р.,
Lupo хетчбек 1998 р. - 2005 р.,
Golf фургон/хетчбек 2000 р. - 2004 р.,
Passat універсал 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
LT автобус 1975 р. - 1996 р.,
Golf універсал 1993 р. - 1999 р.,
Passat хетчбек 1979 р. - 1989 р.,
Jetta седан 1978 р. - 1987 р.,
Passat універсал 1980 р. - 1989 р.,
Golf хетчбек 1983 р. - 1992 р.,
Polo хетчбек 1994 р. - 1999 р.,
Jetta седан 1983 р. - 1992 р.,
Golf універсал 1999 р. - 2006 р.,
Golf кабріолет 1993 р. - 1998 р.,
Golf хетчбек 1991 р. - 1998 р.,
Polo фургон 1992 р. - 1994 р.,
Caddy фургон 1995 р. - 2004 р.,
Polo хетчбек 2001 р. - 2012 р.,
Golf хетчбек 1974 р. - 1985 р.,
Caddy універсал 1995 р. - 2004 р.,
Transporter автобус 1990 р. - 2003 р.,
Passat універсал 1997 р. - 2001 р.,
LT фургон 1975 р. - 1996 р.,
Transporter з бортом 1979 р. - 1992 р.,
Caddy пікап 1996 р. - 2000 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1984 р. - 1989 р.,
Caddy пікап 1979 р. - 1992 р.,
Passat легковий фургон 1988 р. - 1996 р.,
Golf хетчбек 1997 р. - 2005 р.,
Sharan мінівен 1995 р. - 2010 р.,
Polo купе 1981 р. - 1994 р.,
Transporter автобус 1979 р. - 1992 р.,
LT з бортом 1975 р. - 1996 р.,
Passat седан 1996 р. - 2001 р.,
Bora седан 1998 р. - 2013 р.,
Passat седан 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.,
Transporter з бортом 1990 р. - 2003 р.,
Polo хетчбек 1999 р. - 2001 р.|
"
