Артикул,Бренд,Название,Характеристики,Аналоги,Марка,Модель
0160754,MTS,01.60754 MTS Глушник вихлопних газів кінцевий на Volkswagen Caddy, , ,"VW|
","Caddy універсал 2004 р. - 2015 р.,
Caddy фургон 2004 р. - 2015 р.|
"
0196460,MTS,01.96460 MTS Глушник вихлопних газів кінцевий, , ,"SEAT|
SKODA|
VW|
","Toledo седан 1998 р. - 2006 р.|
Octavia універсал 1998 р. - 2010 р.,
Octavia хетчбек 1996 р. - 2010 р.|
Golf універсал 1999 р. - 2006 р.,
Bora седан 1998 р. - 2013 р.,
Bora універсал 1999 р. - 2005 р.|
"
0190430,MTS,01.90430 MTS Глушник вихлопних газів кінцевий на Volkswagen Passat, , ,"VW|
","Passat універсал 1988 р. - 1997 р.,
Passat седан 1988 р. - 1997 р.|
"
0163710,MTS,01.63710 MTS Глушник вихлопних газів кінцевий, ,"BOSAL 185-009|
ASMET 05.009|
","OPEL|
","Kadett фургон 1984 р. - 1993 р.,
Astra універсал 1991 р. - 1998 р.,
Kadett універсал 1984 р. - 1991 р.,
Astra фургон 1991 р. - 1999 р.|
"
08300,Polmostrow,08300 Polmostrow Глушник вихлопних газів кінцевий, , ,"FORD|
","Sierra універсал 1982 р. - 1986 р.,
Sierra седан 1987 р. - 1993 р.,
Transit фургон 1991 р. - 1994 р.,
Sierra хетчбек 1987 р. - 1993 р.,
Sierra хетчбек 1982 р. - 1987 р.,
Sierra універсал 1987 р. - 1993 р.|
"
1739,Polmostrow,1739 Polmostrow Глушник вихлопних газів кінцевий на Opel Vectra, , ,"OPEL|
","Vectra седан 1988 р. - 1995 р.,
Vectra хетчбек 1988 р. - 1995 р.|
"
3009,Polmostrow,3009 Polmostrow Глушник вихлопних газів кінцевий на Volkswagen Golf, , ,"VW|
","Golf хетчбек 1983 р. - 1992 р.|
"
148351,Bosal,148-351 Bosal Глушник вихлопних газів кінцевий на Fiat Doblo, ,"MTS 01.96810|
ASMET 16.082|
","FIAT|
","Doblo мінівен 2001 р. - Наш час,
Doblo легковий фургон 2000 р. - Наш час|
"
0110,Polmostrow,0110 Polmostrow Глушник вихлопних газів кінцевий, , ,"AUDI|
","100 універсал 1982 р. - 1990 р.,
80 седан 1978 р. - 1987 р.,
200 седан 1983 р. - 1991 р.,
200 седан 1979 р. - 1982 р.,
80 седан 1986 р. - 1991 р.,
100 універсал 1977 р. - 1983 р.,
100 седан 1982 р. - 1991 р.,
100 седан 1976 р. - 1982 р.|
"
0160321,MTS,01.60321 MTS Глушник вихлопних газів кінцевий, , ,"SKODA|
","Felicia хетчбек 1998 р. - 2001 р.,
Felicia універсал 1998 р. - 2001 р.,
Felicia хетчбек 1994 р. - 1998 р.,
Felicia універсал 1995 р. - 1998 р.,
Favorit пікап 1992 р. - 1997 р.,
Favorit універсал 1988 р. - 1995 р.|
"
