Артикул,Бренд,Название,Характеристики,Аналоги,Марка,Модель
5050006,Klokkerholm,5050006 Klokkerholm Паливний бак на Opel Astra,"Автозапчастини:Об’єм: 50 л|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","BLIC 6906-00-5050006P|
","OPEL|
VAUXHALL|
","Astra універсал 1991 р. - 1998 р.,
Astra фургон 1991 р. - 1999 р.|
"
2528008,Klokkerholm,2528008 Klokkerholm Паливний бак,"Автозапчастини:Об’єм: 48 л|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"FORD|
","Escort хетчбек 1985 р. - 1990 р.,
Orion седан 1985 р. - 1990 р.,
Escort кабріолет 1986 р. - 1990 р.,
Escort універсал 1985 р. - 1990 р.|
"
6906003450008P,BLIC,6906-00-3450008P BLIC Паливний бак на Mazda 626,"Автозапчастини:Об’єм: 64 л|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"MAZDA|
","626 хетчбек 1997 р. - 2002 р.,
626 універсал 1998 р. - 2002 р.,
626 седан 1997 р. - 2002 р.|
"
2528009,Klokkerholm,2528009 Klokkerholm Паливний бак,"Автозапчастини:Об’єм: 48 л|
Автозапчастини:Пальне: дизель|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"FORD|
","Escort хетчбек 1985 р. - 1990 р.,
Orion седан 1985 р. - 1990 р.,
Escort універсал 1985 р. - 1990 р.|
"
5050007,Klokkerholm,5050007 Klokkerholm Паливний бак на Opel Astra,"Автозапчастини:Об’єм: 50 л|
Автозапчастини:Пальне: дизель|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","BLIC 6906-00-5050007P|
","OPEL|
VAUXHALL|
","Astra універсал 1991 р. - 1998 р.,
Astra фургон 1991 р. - 1999 р.|
"
6906005049016P,BLIC,6906-00-5049016P BLIC Паливний бак на Opel Kadett,"Автозапчастини:Об’єм: 50 л|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","KLOKKERHOLM 5049016|
","OPEL|
VAUXHALL|
","Kadett універсал 1984 р. - 1991 р.,
Kadett фургон 1984 р. - 1993 р.|
"
6906005050006P,BLIC,6906-00-5050006P BLIC Паливний бак на Opel Astra,"Автозапчастини:Об’єм: 50 л|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","KLOKKERHOLM 5050006|
","OPEL|
VAUXHALL|
","Astra універсал 1991 р. - 1998 р.,
Astra фургон 1991 р. - 1999 р.,
Astra універсал 1998 р. - 2005 р.|
"
3438008,Klokkerholm,3438008 Klokkerholm Паливний бак на Mazda 626,"Автозапчастини:Об’єм: 60 л|
Автозапчастини:Тип привода: 2 WD|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"MAZDA|
","626 седан 1987 р. - 1992 р.,
626 хетчбек 1987 р. - 1992 р.,
626 купе 1987 р. - 1992 р.,
626 універсал 1987 р. - 1998 р.|
"
95940888,General Motors,95940888 General Motors Паливний бак, , ,,
6906009557009P,BLIC,6906-00-9557009P BLIC Паливний бак на Volkswagen Transporter,"Автозапчастини:Об’єм: 60 л|
Автозапчастини:Пальне: дизель|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"VW|
","Transporter фургон 1979 р. - 1992 р.,
Transporter автобус 1979 р. - 1992 р.,
Transporter з бортом 1979 р. - 1992 р.|
"
