Артикул,Бренд,Название,Характеристики,Аналоги,Марка,Модель
1111151900,JP group,1111151900 JP group Патрубок клапанної кришки, , ,"AUDI|
SEAT|
VW|
","A4 седан 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1997 р. - 2005 р.,
80 кабріолет 1991 р. - 2000 р.,
80 універсал 1991 р. - 1996 р.,
80 седан 1986 р. - 1991 р.,
A6 седан 1997 р. - 2005 р.,
A6 універсал 1994 р. - 1997 р.,
A4 універсал 1994 р. - 2001 р.,
80 седан 1991 р. - 1994 р.|
Cordoba седан 1993 р. - 2002 р.,
Cordoba універсал 1996 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Toledo хетчбек 1991 р. - 1999 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Ibiza хетчбек 1993 р. - 2002 р.|
Passat універсал 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.,
Caddy фургон 1995 р. - 2004 р.,
Golf кабріолет 1998 р. - 2002 р.,
Passat седан 1996 р. - 2001 р.,
Sharan мінівен 1995 р. - 2010 р.,
Golf універсал 1993 р. - 1999 р.,
Golf хетчбек 1997 р. - 2005 р.,
Passat седан 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
Golf хетчбек 1991 р. - 1998 р.,
Passat універсал 1997 р. - 2001 р.,
Caddy універсал 1995 р. - 2004 р.,
Vento седан 1991 р. - 1998 р.,
Golf кабріолет 1993 р. - 1998 р.|
"
0140090019,Meyle,014 009 0019 Meyle Патрубок клапанної кришки, ,"VAICO V30-1883|
","MERCEDES-BENZ|
","G-Class позашляховик 1979 р. - 1993 р.,
Kombi універсал 1985 р. - 1993 р.,
Coupe купе 1987 р. - 1993 р.,
190 седан 1982 р. - 1993 р.,
E-Class седан 1984 р. - 1993 р.|
"
1111152200,JP group,1111152200 JP group Патрубок клапанної кришки, , ,"AUDI|
SEAT|
SKODA|
VW|
","A4 кабріолет 2002 р. - 2009 р.,
A4 седан 2000 р. - 2004 р.,
A4 седан 1994 р. - 2001 р.,
A4 універсал 2001 р. - 2004 р.,
TT купе 1998 р. - 2006 р.,
A6 універсал 1997 р. - 2005 р.,
A4 седан 2004 р. - 2008 р.,
TT кабріолет 1999 р. - 2006 р.,
A3 хетчбек 1996 р. - 2003 р.,
A4 універсал 1994 р. - 2001 р.,
A4 універсал 2004 р. - 2008 р.,
A6 седан 1997 р. - 2005 р.|
Toledo седан 1998 р. - 2006 р.,
Exeo седан 2008 р. - Наш час,
Ibiza хетчбек 2002 р. - 2009 р.,
Leon хетчбек 1999 р. - 2006 р.,
Ibiza хетчбек 1999 р. - 2002 р.,
Exeo універсал 2009 р. - Наш час,
Cordoba седан 1999 р. - 2002 р.|
Superb седан 2001 р. - 2008 р.,
Octavia хетчбек 1996 р. - 2010 р.,
Octavia універсал 1998 р. - 2010 р.|
New Beetle хетчбек 1998 р. - 2010 р.,
Passat універсал 2000 р. - 2005 р.,
Golf універсал 1999 р. - 2006 р.,
New Beetle кабріолет 2002 р. - 2010 р.,
Bora седан 1998 р. - 2013 р.,
Polo хетчбек 2001 р. - 2012 р.,
Golf хетчбек 1997 р. - 2005 р.,
Passat седан 2000 р. - 2005 р.,
Bora універсал 1999 р. - 2005 р.|
"
0140090029,Meyle,014 009 0029 Meyle Патрубок клапанної кришки, ,"VAICO V30-0790|
","MERCEDES-BENZ|
","Kombi універсал 1985 р. - 1993 р.,
Coupe купе 1987 р. - 1993 р.,
190 седан 1982 р. - 1993 р.,
G-Class позашляховик 1989 р. - Наш час,
E-Class седан 1984 р. - 1993 р.|
"
2380010,Metzger,2380010 Metzger Патрубок клапанної кришки, , ,"AUDI|
SKODA|
VW|
","A3 хетчбек 1996 р. - 2003 р.,
A3 хетчбек 2003 р. - 2012 р.,
A3 хетчбек 2004 р. - 2013 р.|
Octavia хетчбек 2004 р. - 2013 р.,
Octavia хетчбек 1996 р. - 2010 р.,
Octavia універсал 1998 р. - 2010 р.,
Octavia універсал 2004 р. - 2013 р.|
New Beetle хетчбек 1998 р. - 2010 р.,
Golf універсал 1999 р. - 2006 р.,
Golf хетчбек 2003 р. - 2009 р.,
New Beetle кабріолет 2002 р. - 2010 р.,
Bora седан 1998 р. - 2013 р.,
Golf хетчбек 1997 р. - 2005 р.,
Jetta седан 2005 р. - 2010 р.,
Caddy фургон 2004 р. - 2015 р.,
Touran мінівен 2003 р. - 2010 р.,
Caddy універсал 2004 р. - 2015 р.,
Bora універсал 1999 р. - 2005 р.,
Golf універсал 2007 р. - 2009 р.|
"
112280,Topran,112 280 Topran Патрубок клапанної кришки, , ,"AUDI|
VW|
","A4 седан 1994 р. - 2001 р.,
A4 універсал 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1997 р. - 2005 р.,
A6 універсал 1994 р. - 1997 р.,
A6 седан 1997 р. - 2005 р.|
Passat універсал 1997 р. - 2001 р.,
Passat седан 1996 р. - 2001 р.|
"
108737,Topran,108 737 Topran Патрубок клапанної кришки, , ,"AUDI|
SEAT|
VW|
","A4 седан 1994 р. - 2001 р.,
A6 седан 1994 р. - 1997 р.,
A6 універсал 1997 р. - 2005 р.,
80 універсал 1991 р. - 1996 р.,
80 седан 1986 р. - 1991 р.,
A6 седан 1997 р. - 2005 р.,
A6 універсал 1994 р. - 1997 р.,
A4 універсал 1994 р. - 2001 р.,
80 седан 1991 р. - 1994 р.|
Cordoba седан 1993 р. - 2002 р.,
Cordoba універсал 1996 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Toledo хетчбек 1991 р. - 1999 р.,
Alhambra мінівен 1996 р. - 2010 р.,
Ibiza хетчбек 1993 р. - 2002 р.|
Passat універсал 1988 р. - 1997 р.,
Polo седан 1995 р. - 2006 р.,
Caddy фургон 1995 р. - 2004 р.,
Passat седан 1996 р. - 2001 р.,
Sharan мінівен 1995 р. - 2010 р.,
Golf універсал 1993 р. - 1999 р.,
Passat седан 1988 р. - 1997 р.,
Polo універсал 1997 р. - 2001 р.,
Golf хетчбек 1991 р. - 1998 р.,
Passat універсал 1997 р. - 2001 р.,
Caddy універсал 1995 р. - 2004 р.,
Vento седан 1991 р. - 1998 р.|
"
0140010003,Meyle,014 001 0003 Meyle Патрубок клапанної кришки, ,"TRUCKTEC AUTOMOTIVE 02.10.062|
TOPRAN 408 047|
","MERCEDES-BENZ|
","G-Class позашляховик 1979 р. - 1993 р.,
Vito фургон 1997 р. - 2003 р.,
Kombi універсал 1985 р. - 1993 р.,
Sprinter з бортом 1996 р. - 2006 р.,
T1 автобус 1977 р. - 1996 р.,
T1 фургон 1982 р. - 1996 р.,
Sprinter з бортом 1995 р. - 2006 р.,
Sprinter фургон 1996 р. - 2006 р.,
Vito автобус 1996 р. - 2003 р.,
T1 з бортом 1977 р. - 1996 р.,
190 седан 1982 р. - 1993 р.,
Sprinter автобус 1995 р. - 2006 р.,
E-Class седан 1993 р. - 1996 р.,
G-Class позашляховик 1989 р. - Наш час,
Sprinter фургон 1995 р. - 2006 р.,
E-Class седан 1984 р. - 1993 р.,
T1 фургон 1977 р. - 1996 р.|
"
0210114,Trucktec Automotive,02.10.114 Trucktec Automotive Патрубок клапанної кришки, ,"MEYLE 014 001 0049|
","MERCEDES-BENZ|
","E-Class седан 1995 р. - 2003 р.,
C-Class седан 1993 р. - 2000 р.,
C-Class універсал 1996 р. - 2001 р.,
S-Class седан 1991 р. - 1998 р.,
E-Class універсал 1996 р. - 2003 р.,
E-Class седан 1993 р. - 1996 р.,
G-Class позашляховик 1989 р. - Наш час,
E-Class універсал 1993 р. - 1996 р.|
"
N90467301,VAG,N90467301 VAG Прокладка впускного колектора,"Автозапчастини:Тип: оригінальна запчастина|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"AUDI|
SEAT|
SKODA|
VW|
","A4 кабріолет 2002 р. - 2009 р.,
A4 седан 2000 р. - 2004 р.,
A4 седан 1994 р. - 2001 р.,
A4 універсал 2001 р. - 2004 р.,
TT купе 1998 р. - 2006 р.,
A6 універсал 1997 р. - 2005 р.,
A4 седан 2004 р. - 2008 р.,
TT кабріолет 1999 р. - 2006 р.,
A3 хетчбек 1996 р. - 2003 р.,
A4 універсал 1994 р. - 2001 р.,
A4 універсал 2004 р. - 2008 р.,
A6 седан 1997 р. - 2005 р.|
Toledo седан 1998 р. - 2006 р.,
Exeo седан 2008 р. - Наш час,
Ibiza хетчбек 2002 р. - 2009 р.,
Leon хетчбек 1999 р. - 2006 р.,
Ibiza хетчбек 1999 р. - 2002 р.,
Exeo універсал 2009 р. - Наш час,
Cordoba седан 1999 р. - 2002 р.|
Superb седан 2001 р. - 2008 р.,
Octavia хетчбек 1996 р. - 2010 р.,
Octavia універсал 1998 р. - 2010 р.|
New Beetle хетчбек 1998 р. - 2010 р.,
Passat універсал 2000 р. - 2005 р.,
Golf універсал 1999 р. - 2006 р.,
New Beetle кабріолет 2002 р. - 2010 р.,
Bora седан 1998 р. - 2013 р.,
Polo хетчбек 2001 р. - 2012 р.,
Golf хетчбек 1997 р. - 2005 р.,
Passat седан 2000 р. - 2005 р.,
Bora універсал 1999 р. - 2005 р.|
"
