Артикул,Бренд,Название,Характеристики,Аналоги,Марка,Модель
3405201,Lemforder,34052 01 Lemforder Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 23.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"VW|
","New Beetle хетчбек 1998 р. - 2010 р.,
New Beetle кабріолет 2002 р. - 2010 р.,
Golf універсал 1999 р. - 2006 р.,
Bora седан 1998 р. - 2013 р.,
Golf кабріолет 1998 р. - 2002 р.,
Golf хетчбек 1997 р. - 2005 р.,
Bora універсал 1999 р. - 2005 р.|
"
3588701,Lemforder,35887 01 Lemforder Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 17.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"SEAT|
SKODA|
VW|
","Cordoba седан 2002 р. - 2009 р.,
Ibiza хетчбек 2002 р. - 2009 р.|
Fabia універсал 2000 р. - 2007 р.,
Fabia седан 1999 р. - 2007 р.,
Fabia хетчбек 2006 р. - 2014 р.,
Fabia хетчбек 1999 р. - 2008 р.,
Fabia універсал 2007 р. - 2014 р.|
Polo хетчбек 2001 р. - 2012 р.,
Polo седан 2002 р. - Наш час,
Polo хетчбек 2009 р. - Наш час,
Fox хетчбек 2003 р. - Наш час|
"
3588801,Lemforder,35888 01 Lemforder Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 18.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"SEAT|
SKODA|
VW|
","Cordoba седан 2002 р. - 2009 р.,
Ibiza хетчбек 2002 р. - 2009 р.|
Fabia універсал 2000 р. - 2007 р.,
Fabia седан 1999 р. - 2007 р.,
Fabia хетчбек 2006 р. - 2014 р.,
Fabia хетчбек 1999 р. - 2008 р.,
Fabia універсал 2007 р. - 2014 р.,
Roomster мінівен 2006 р. - 2015 р.|
Polo хетчбек 2001 р. - 2012 р.,
Polo седан 2002 р. - Наш час,
Polo хетчбек 2009 р. - Наш час|
"
22804,Febi,22804 Febi Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 18.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Вага: 0.03 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"AUDI|
SEAT|
SKODA|
VW|
","A3 хетчбек 1996 р. - 2003 р.,
TT кабріолет 1999 р. - 2006 р.,
TT купе 1998 р. - 2006 р.|
Leon хетчбек 1999 р. - 2006 р.,
Toledo седан 1998 р. - 2006 р.|
Octavia хетчбек 1996 р. - 2010 р.,
Octavia універсал 1998 р. - 2010 р.|
New Beetle хетчбек 1998 р. - 2010 р.,
Golf універсал 1999 р. - 2006 р.,
Bora седан 1998 р. - 2013 р.,
Golf хетчбек 1997 р. - 2005 р.,
Bora універсал 1999 р. - 2005 р.|
"
40610017,SWAG,40 61 0017 SWAG Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 18.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Вага: 0.03 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","SPIDAN 411188|
RUVILLE 985361|
QUINTON HAZELL EMB7112|
DELPHI TD540W|
METZGER 52048308|
FEBI BILSTEIN 17730|
OPTIMAL F8-5230|
MAPCO 33761|
","OPEL|
VAUXHALL|
","Astra седан 1998 р. - 2009 р.,
Astra хетчбек 1998 р. - 2009 р.,
Astra купе 2000 р. - 2005 р.,
Astra кабріолет 2001 р. - 2005 р.,
Tigra кабріолет 2004 р. - Наш час,
Astra універсал 1998 р. - 2009 р.,
Astra фургон 1999 р. - 2005 р.|
"
32610002,SWAG,32 61 0002 SWAG Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 20.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Вага: 0.03 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"AUDI|
VW|
","80 седан 1986 р. - 1991 р.,
90 седан 1984 р. - 1987 р.,
80 седан 1978 р. - 1987 р.,
90 седан 1987 р. - 1991 р.|
Passat універсал 1980 р. - 1989 р.,
Passat хетчбек 1979 р. - 1989 р.,
Passat седан 1984 р. - 1989 р.|
"
1007150002,Meyle,100 715 0002 Meyle Втулка стабілізатора на Volkswagen Caddy,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: задній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 18.00 мм|
Автозапчастини:Вага: 0.06 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"VW|
","Caddy фургон 2004 р. - 2015 р.,
Caddy універсал 2004 р. - 2015 р.|
"
2230401,Lemforder,22304 01 Lemforder Втулка стабілізатора,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 27.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"AUDI|
SKODA|
VW|
","A8 седан 1994 р. - 2002 р.,
A4 універсал 1994 р. - 2001 р.,
A4 седан 1994 р. - 2001 р.,
A6 універсал 1997 р. - 2005 р.,
Allroad універсал 2000 р. - 2005 р.,
A6 седан 1997 р. - 2005 р.|
Superb седан 2001 р. - 2008 р.|
Passat універсал 1997 р. - 2001 р.,
Passat седан 1996 р. - 2001 р.|
"
3706701,Lemforder,37067 01 Lemforder Втулка стабілізатора на Volkswagen Caddy,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: задній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Внутрішній діаметр: 19.00 мм|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"VW|
","Caddy фургон 2004 р. - 2015 р.,
Caddy універсал 2004 р. - 2015 р.|
"
4241265J00,Suzuki,4241265J00 Suzuki Втулка стабілізатора на Suzuki Grand Vitara,"Автозапчастини:Тип товару: втулка стабілізатора|
Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на стабілізаторі: всередині|
Автозапчастини:Матеріал: гума|
Автозапчастини:Кількість на вісь: 2 шт|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"SUZUKI|
","Grand Vitara позашляховик 2005 р. - Наш час,
Grand Vitara позашляховик 1998 р. - 2006 р.|
"
