Артикул,Бренд,Название,Ссылка на фото,Характеристики,Аналоги,Марка,Модель
1942000,General Motors,"General Motors Dexos2 5W-30 (1 л, 2 л, 4 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-general-motors-dexos2-5w-30-sinteticheskoe_2618.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 1942000|
Автозапчастини:Серія: Dexos2|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-30|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: C3|
Автозапчастини:Класифікація API: CF, SN|
Автозапчастини:Тип двигуна: Бензин, Дизель|
Автозапчастини:Допуск OEM General Motors: GM-LL-A-025, GM-LL-B-025, GM Dexos 2|
Автозапчастини:Допуск OEM Mercedes Benz: MB 229.51|
Автозапчастини:Допуск OEM VAG (VW, Audi, Seat, Skoda): VW 502 00, VW 505 00, VW 505 01|
", ,,
155d4b,Ford,"Ford Formula F 5W-30 (1 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-ford-formula-f-5w-30-sinteticheskoe_774.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 155d4b|
Автозапчастини:Серія: Formula F|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-30|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: A5/B5|
Автозапчастини:Тип двигуна: Бензин, Дизель|
Автозапчастини:Допуск OEM Ford: Ford WSS-M2C 913-C|
", ,,
213897,Elf,"Elf Evolution 900 SXR 5W-40 (1 л, 4 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-elf-evolution-900-sxr-5w-40-sinteticheskoe_2575.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 213897|
Автозапчастини:Серія: Evolution 900 SXR|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-40|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: A3/B4|
Автозапчастини:Класифікація API: CF, SN|
Автозапчастини:Тип двигуна: Бензин, Дизель|
Автозапчастини:Допуск OEM Chrysler: Chrysler MS 12991|
Автозапчастини:Допуск OEM Fiat: Fiat 9.55535-M2|
Автозапчастини:Допуск OEM Mercedes Benz: MB 229.5|
Автозапчастини:Допуск OEM Peugeot, Citroen: PSA B71 2296|
Автозапчастини:Допуск OEM Porsche: Porsche A-40|
Автозапчастини:Допуск OEM Renault: Renault RN 0700, Renault RN 0710|
Автозапчастини:Допуск OEM VAG (VW, Audi, Seat, Skoda): VW 502 00, VW 505 00|
", ,,
15CF56,Ford,"Ford Motorcraft A5 5W-30 (1 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-ford-motorcraft-a5-5w-30-sinteticheskoe_774.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 15CF56|
Автозапчастини:Серія: Motorcraft A5|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-30|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: A1/B1, A5/B5|
Автозапчастини:Класифікація API: CF, SM|
Автозапчастини:Тип двигуна: Бензин, Дизель|
Автозапчастини:Класифікація ILSAC: GF-4|
Автозапчастини:Допуск OEM Ford: Ford WSS-M2C 913-A, Ford WSS-M2C 913-B, Ford WSS-M2C 913-C, Ford WSS-M2C 913-D|
", ,,
213933,Elf,"Elf Evolution Full-Tech FE 5W-30 (1 л, 2 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-elf-evolution-full-tech-fe-5w-30-sinteticheskoe_2575.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 213933|
Автозапчастини:Серія: Evolution Full-Tech FE|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-30|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: C4|
Автозапчастини:Тип двигуна: Дизель|
Автозапчастини:Допуск OEM Fiat: Fiat 9.55535-S4|
Автозапчастини:Допуск OEM Mercedes Benz: MB 226.51|
Автозапчастини:Допуск OEM Renault: Renault RN 0720|
", ,,
0888080846,Toyota,"Toyota Fuel Economy 5W-30 (1 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-toyota-fuel-economy-5w-30-sinteticheskoe_12673.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 0888080846|
Автозапчастини:Серія: Fuel Economy|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-30|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: A1/B1, A5/B5|
Автозапчастини:Класифікація API: CF, SL|
Автозапчастини:Тип двигуна: Бензин, Дизель|
", ,,
20637,Aral,"Aral HighTronic 5W-40 (1 л, 4 л, 5 л, 20 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-aral-hightronic-5w-40-sinteticheskoe_2574.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 20637|
Автозапчастини:Серія: HighTronic|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-40|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: C3|
Автозапчастини:Класифікація API: CF, SN|
Автозапчастини:Тип двигуна: Бензин, Дизель|
Автозапчастини:Допуск OEM Fiat: Fiat 9.55535-S2|
Автозапчастини:Допуск OEM Ford: Ford WSS-M2C 917-A|
Автозапчастини:Допуск OEM General Motors: GM Dexos 2|
Автозапчастини:Допуск OEM Mercedes Benz: MB 229.31, MB 229.51|
Автозапчастини:Допуск OEM Porsche: Porsche A-40|
Автозапчастини:Допуск OEM Renault: Renault RN 0700, Renault RN 0710|
Автозапчастини:Допуск OEM VAG (VW, Audi, Seat, Skoda): VW 505 00, VW 505 01|
", ,,
gs55502m2,VAG,"VAG Special G 5W-40 (1 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-vag-special-g-5w-40-sinteticheskoe_2268.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: gs55502m2|
Автозапчастини:Серія: Special G|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-40|
Автозапчастини:Тип: синтетична|
Автозапчастини:Тип двигуна: Бензин|
Автозапчастини:Допуск OEM VAG (VW, Audi, Seat, Skoda): VW 502 00, VW 505 00|
", ,,
02219,Kroon Oil,"Kroon Oil Emperol 5W-40 (1 л, 4 л, 5 л, 20 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-kroon-oil-emperol-5w-40-sinteticheskoe_2576.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 02219|
Автозапчастини:Серія: Emperol|
Автозапчастини:В'язкість за SAE: Моторна олива 5W-40|
Автозапчастини:Тип: синтетична|
Автозапчастини:Класифікація ACEA: A3/B4|
Автозапчастини:Класифікація API: CF, SN|
Автозапчастини:Тип двигуна: Бензин, Дизель|
Автозапчастини:Допуск OEM BMW: BMW Longlife-01|
Автозапчастини:Допуск OEM Fiat: Fiat 9.55535-M2|
Автозапчастини:Допуск OEM General Motors: GM-LL-B-025|
Автозапчастини:Допуск OEM Mercedes Benz: MB 229.3, MB 226.5|
Автозапчастини:Допуск OEM Porsche: Porsche A-40|
Автозапчастини:Допуск OEM Renault: Renault RN 0700, Renault RN 0710|
Автозапчастини:Допуск OEM VAG (VW, Audi, Seat, Skoda): VW 502 00, VW 505 00|
", ,,
1942043,General Motors,"General Motors Semi Synthetic 10W-40 (1 л, 2 л, 4 л, 5 л) моторна олива",https://img.dok.ua/images/card/group/motornoe-maslo-general-motors-semi-synthetic-10w-40-polusinteticheskoe_2618.jpg,"Автозапчастини:Ємність: 1 л|
Автозапчастини:Артикул: 1942043|
Автозапчастини:Серія: Semi Synthetic|
Автозапчастини:В'язкість за SAE: Моторна олива 10W-40|
Автозапчастини:Тип: напівсинтетична|
Автозапчастини:Класифікація ACEA: A3/B4|
Автозапчастини:Класифікація API: CF, SL|
Автозапчастини:Тип двигуна: Бензин, Дизель|
", ,,
