Артикул,Бренд,Название,Характеристики,Аналоги,Марка,Модель
4006135,Sasic,4006135 Sasic Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: справа|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","FRAP 2348|
PROFIT 2302-0312|
TALOSA 42-06007|
SPIDAN 45178|
LEMFÖRDER 25484 02|
MONROE L25123|
DELPHI TA1790|
FEBI BILSTEIN 19604|
","NISSAN|
RENAULT|
","Micra хетчбек 2002 р. - 2010 р.,
Kubistar фургон 2003 р. - Наш час,
Kubistar мінівен 2003 р. - 2009 р.,
Micra кабріолет 2005 р. - Наш час|
Thalia седан 1998 р. - Наш час,
Modus хетчбек 2004 р. - Наш час,
Clio фургон 1998 р. - Наш час,
Megane купе 1996 р. - 2003 р.,
Twingo хетчбек 1993 р. - 2012 р.,
Twingo хетчбек 2007 р. - Наш час,
Megane Scenic мінівен 1996 р. - 2001 р.,
Scénic мінівен 1999 р. - 2003 р.,
Megane хетчбек 1995 р. - 2004 р.,
Megane седан 1996 р. - 2008 р.,
Clio хетчбек 1998 р. - Наш час,
Twingo фургон 1993 р. - 2004 р.,
Kangoo Express фургон 1997 р. - Наш час,
Wind кабріолет 2010 р. - Наш час,
Kangoo мінівен 1997 р. - Наш час,
Thalia седан 2008 р. - Наш час,
Clio Grandtour універсал 2008 р. - Наш час,
Clio хетчбек 2005 р. - Наш час,
Megane кабріолет 1996 р. - 2003 р.,
Megane універсал 1999 р. - 2003 р.|
"
4006134,Sasic,4006134 Sasic Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: зліва|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","FRAP 2349|
PROFIT 2302-0311|
TALOSA 42-06008|
SPIDAN 45177|
RUVILLE 915554|
LEMFÖRDER 25446 03|
MONROE L25124|
DELPHI TA1789|
","NISSAN|
RENAULT|
","Micra хетчбек 2002 р. - 2010 р.,
Kubistar фургон 2003 р. - Наш час,
Kubistar мінівен 2003 р. - 2009 р.,
Micra кабріолет 2005 р. - Наш час|
Thalia седан 1998 р. - Наш час,
Modus хетчбек 2004 р. - Наш час,
Clio фургон 1998 р. - Наш час,
Megane купе 1996 р. - 2003 р.,
Twingo хетчбек 1993 р. - 2012 р.,
Twingo хетчбек 2007 р. - Наш час,
Megane Scenic мінівен 1996 р. - 2001 р.,
Scénic мінівен 1999 р. - 2003 р.,
Megane хетчбек 1995 р. - 2004 р.,
Megane седан 1996 р. - 2008 р.,
Clio хетчбек 1998 р. - Наш час,
Twingo фургон 1993 р. - 2004 р.,
Kangoo Express фургон 1997 р. - Наш час,
Wind кабріолет 2010 р. - Наш час,
Kangoo мінівен 1997 р. - Наш час,
Thalia седан 2008 р. - Наш час,
Clio Grandtour універсал 2008 р. - Наш час,
Clio хетчбек 2005 р. - Наш час,
Megane кабріолет 1996 р. - 2003 р.,
Megane універсал 1999 р. - 2003 р.|
"
двобічно,CTR,CEKH7 CTR Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M12 x 1,25|
Автозапчастини:Нарізь кріплення: M14 x 1,5|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"HYUNDAI|
KIA|
","Accent хетчбек 1999 р. - 2005 р.,
Sonata седан 1993 р. - 1998 р.,
Highway фургон 2000 р. - 2004 р.,
Lantra седан 1995 р. - 2000 р.,
Tiburon купе 2001 р. - 2008 р.,
Accent хетчбек 1994 р. - 2000 р.,
Accent седан 1994 р. - 2000 р.,
Santa Fé позашляховик 2000 р. - 2006 р.,
Trajet мінівен 2000 р. - 2008 р.,
Lantra седан 1990 р. - 1995 р.,
Accent седан 1999 р. - 2006 р.,
Coupe купе 2001 р. - 2009 р.,
Equus седан 1999 р. - 2009 р.,
Lantra універсал 1996 р. - 2000 р.,
Elantra хетчбек 2000 р. - 2006 р.,
Matrix мінівен 2001 р. - 2010 р.,
Elantra седан 2000 р. - 2006 р.,
Accent седан 2005 р. - 2010 р.,
Coupe купе 1996 р. - 2002 р.,
Getz хетчбек 2002 р. - 2010 р.|
Cerato седан 2012 р. - Наш час,
Cerato седан 2004 р. - Наш час,
Cerato седан 2009 р. - Наш час,
Cerato хетчбек 2004 р. - Наш час|
"
двобічно,CTR,CEM14 CTR Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: двобічно|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M10 x 1,25|
Автозапчастини:Нарізь кріплення: M12 x 1,25|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"MITSUBISHI|
PROTON|
","Mirage хетчбек 1991 р. - 2003 р.,
Lancer хетчбек 1988 р. - 1994 р.,
Lancer універсал 1992 р. - 2003 р.,
Carisma седан 1996 р. - 2006 р.,
Mirage седан 1983 р. - 1988 р.,
Colt хетчбек 1992 р. - 1996 р.,
Mirage хетчбек 1983 р. - 1988 р.,
Lancer універсал 1985 р. - 1992 р.,
Colt хетчбек 1986 р. - 1992 р.,
Mirage хетчбек 1988 р. - 1991 р.,
Mirage хетчбек 1995 р. - 2003 р.,
Carisma хетчбек 1995 р. - 2006 р.,
Lancer седан 2000 р. - 2013 р.,
i хетчбек 2006 р. - Наш час,
Lancer седан 1991 р. - 1996 р.,
Lancer седан 1995 р. - 2003 р.,
Lancer седан 1988 р. - 1992 р.,
Space Star мінівен 1998 р. - 2004 р.,
Lancer універсал 2003 р. - 2008 р.,
Mirage седан 1995 р. - 2003 р.,
Lancer седан 1983 р. - 1990 р.,
Colt хетчбек 1982 р. - 1988 р.,
Colt хетчбек 1995 р. - 2003 р.|
"
23020079,Profit,2302-0079 Profit Наконечник рульової тяги на Ford Sierra,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: справа|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M10 x 1|
Автозапчастини:Нарізь кріплення: M14 x 2|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Вага: 0.40 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","SPIDAN 45584|
MONROE L16010|
DELPHI TA987|
FEBI BILSTEIN 06301|
NK 5032505|
OPTIMAL G1-073|
MAPCO 19736|
SIDEM 3231|
","FORD|
","Sierra хетчбек 1987 р. - 1993 р.,
Sierra седан 1987 р. - 1993 р.,
Sierra хетчбек 1982 р. - 1987 р.,
Sierra універсал 1982 р. - 1986 р.,
Sierra універсал 1987 р. - 1993 р.|
"
JTE458,TRW,JTE458 TRW Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: справа|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M12 x 1,5|
Автозапчастини:Нарізь кріплення: M14 x 1,5|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"AUDI|
SEAT|
SKODA|
VW|
","A3 хетчбек 1996 р. - 2003 р.|
Leon хетчбек 1999 р. - 2006 р.,
Toledo седан 1998 р. - 2006 р.|
Octavia універсал 1998 р. - 2010 р.,
Octavia хетчбек 1996 р. - 2010 р.|
Bora седан 1998 р. - 2013 р.,
Golf універсал 1999 р. - 2006 р.,
New Beetle кабріолет 2002 р. - 2010 р.,
Bora універсал 1999 р. - 2005 р.,
New Beetle хетчбек 1998 р. - 2010 р.,
Golf хетчбек 1997 р. - 2005 р.|
"
23020078,Profit,2302-0078 Profit Наконечник рульової тяги на Ford Sierra,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: зліва|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M10 x 1|
Автозапчастини:Нарізь кріплення: M14 x 2|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Вага: 0.46 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","LEMFÖRDER 11666 01|
QUINTON HAZELL QR1834S|
DELPHI TA986|
FEBI BILSTEIN 06302|
NK 5032504|
OPTIMAL G1-072|
MAPCO 19735|
MOOG FD-ES-3368|
","FORD|
","Sierra хетчбек 1987 р. - 1993 р.,
Sierra седан 1987 р. - 1993 р.,
Sierra хетчбек 1982 р. - 1987 р.,
Sierra універсал 1982 р. - 1986 р.,
Sierra універсал 1987 р. - 1993 р.|
"
VOES7106,Moog,VO-ES-7106 Moog Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: справа|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M12 x 1,5|
Автозапчастини:Нарізь кріплення: M14 x 1,5|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","PROFIT 2302-0426|
SPIDAN 46224|
LEMFÖRDER 10249 02|
MONROE L29117|
DELPHI TA1081|
FEBI BILSTEIN 02238|
OPTIMAL G1-110|
MAPCO 19878|
","SEAT|
VW|
","Ibiza хетчбек 1999 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Cordoba седан 1993 р. - 2002 р.,
Toledo хетчбек 1991 р. - 1999 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Cordoba універсал 1999 р. - 2002 р.,
Cordoba седан 1999 р. - 2002 р.,
Cordoba універсал 1996 р. - 2002 р.|
Caddy універсал 1995 р. - 2004 р.,
Jetta седан 1983 р. - 1992 р.,
Golf кабріолет 1998 р. - 2002 р.,
Polo седан 1995 р. - 2006 р.,
Golf універсал 1993 р. - 1999 р.,
Corrado купе 1987 р. - 1995 р.,
Polo універсал 1997 р. - 2001 р.,
Passat седан 1988 р. - 1997 р.,
Passat універсал 1988 р. - 1997 р.,
Golf хетчбек 1991 р. - 1998 р.,
Vento седан 1991 р. - 1998 р.,
Golf хетчбек 1983 р. - 1992 р.,
Golf кабріолет 1993 р. - 1998 р.,
Caddy фургон 1995 р. - 2004 р.,
Passat легковий фургон 1988 р. - 1996 р.|
"
JTF201,TRW,JTF201 TRW Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: справа|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M12 x 1,5|
Автозапчастини:Нарізь кріплення: M14 x 1,5|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Додатково: із кріпильними матеріалами|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
", ,"SEAT|
SKODA|
VW|
","Ibiza хетчбек 2008 р. - Наш час,
Toledo хетчбек 2012 р. - Наш час,
Ibiza універсал 2010 р. - Наш час,
Cordoba седан 2002 р. - 2009 р.,
Ibiza хетчбек 2002 р. - 2009 р.,
Ibiza купе 2008 р. - Наш час|
Fabia універсал 2000 р. - 2007 р.,
Fabia хетчбек 2006 р. - 2014 р.,
Rapid хетчбек 2012 р. - Наш час,
Fabia універсал 2007 р. - 2014 р.,
Roomster мінівен 2006 р. - 2015 р.,
Fabia фургон 2001 р. - 2007 р.,
Fabia хетчбек 1999 р. - 2008 р.,
Roomster фургон 2007 р. - 2015 р.,
Fabia седан 1999 р. - 2007 р.|
Fox хетчбек 2003 р. - Наш час,
Polo седан 2002 р. - Наш час,
Polo хетчбек 2001 р. - 2012 р.,
Polo седан 2009 р. - Наш час,
Polo хетчбек 2009 р. - Наш час|
"
VOES7139,Moog,VO-ES-7139 Moog Наконечник рульової тяги,"Автозапчастини:Розміщення: передній міст|
Автозапчастини:Сторона: зліва|
Автозапчастини:Розташування на вісі: назовні|
Автозапчастини:Нарізь конуса: M12 x 1,5|
Автозапчастини:Нарізь кріплення: M14 x 1,5|
Автозапчастини:Тип нарізі кріплення: Внутрішня нарізь|
Автозапчастини:Вага: 0.30 кг|
Автозапчастини:Гарантія: 6 міс або 20 тис. км|
","PROFIT 2302-0430|
SPIDAN 46030|
RUVILLE 915434|
LEMFÖRDER 10250 02|
MONROE L29118|
QUINTON HAZELL QR2767S|
DELPHI TA1237|
FEBI BILSTEIN 03583|
","SEAT|
VW|
","Ibiza хетчбек 1999 р. - 2002 р.,
Inca фургон 1995 р. - 2003 р.,
Cordoba седан 1993 р. - 2002 р.,
Toledo хетчбек 1991 р. - 1999 р.,
Ibiza хетчбек 1993 р. - 2002 р.,
Cordoba універсал 1999 р. - 2002 р.,
Cordoba седан 1999 р. - 2002 р.,
Cordoba універсал 1996 р. - 2002 р.|
Caddy універсал 1995 р. - 2004 р.,
Jetta седан 1983 р. - 1992 р.,
Golf кабріолет 1998 р. - 2002 р.,
Polo седан 1995 р. - 2006 р.,
Golf універсал 1993 р. - 1999 р.,
Corrado купе 1987 р. - 1995 р.,
Polo універсал 1997 р. - 2001 р.,
Passat седан 1988 р. - 1997 р.,
Passat універсал 1988 р. - 1997 р.,
Golf хетчбек 1991 р. - 1998 р.,
Vento седан 1991 р. - 1998 р.,
Golf хетчбек 1983 р. - 1992 р.,
Golf кабріолет 1993 р. - 1998 р.,
Caddy фургон 1995 р. - 2004 р.,
Passat легковий фургон 1988 р. - 1996 р.|
"
